id_cliente,indice,subtotal
37853,15,4449.95
37884,15,6226.25
37884,15,6226.25
37884,15,8704.79
37884,15,8704.79
37884,15,6788.3
37884,15,6788.3
37884,15,9570.88
37884,15,8511.29
37884,15,8511.29
37884,15,25913.95
37884,15,11966.48
740,15,14020.86
3750,15,6608
460,15,6682.88
460,15,4110.9
37524,15,15145
37700,15,12789.7
37867,15,8040.66
37867,15,8040.66
3450,15,14100
850,15,3538
850,15,12645
850,15,3538
850,15,3538
850,15,3538
850,15,3538
37700,15,12789.7
37524,15,14245
460,15,2864.85
460,15,2688
740,15,12511.48
740,15,15799.48
740,15,12511.48
460,15,2864.85
37884,15,6226.26
37884,15,6226.24
103,16,19250
103,16,19250
103,16,19250
103,16,21025
37867,16,8040.66
37867,16,8040.66
37867,16,8040.66
37867,16,8040.66
37867,16,8040.66
37867,16,8040.66
37867,16,8040.66
850,16,22429
850,16,27689
850,16,52820
850,16,22429
850,16,22429
850,16,22429
850,16,22559
850,16,30594
850,16,2500
850,16,12399
850,16,12309
850,16,16249
850,16,16249
850,16,16949
850,16,12437
850,16,12437
850,16,12645
850,16,42843
850,16,9937
850,16,9937
850,16,12645
850,16,31153
850,16,9388
850,16,6002
850,16,12309
850,16,6257
850,16,12309
850,16,15649
850,16,12309
850,16,28032
850,16,18037
850,16,15649
850,16,12309
850,16,12309
850,16,2500
850,16,14429
850,16,31455
850,16,16849
850,16,15649
850,16,15649
980,16,29650
3450,16,15300
37741,16,10296
460,16,19383
37524,16,14245
37524,16,16945
460,16,3405.97
460,16,6682.88
460,16,10182.88
460,16,10182.88
460,16,6682.88
1360,16,11967.03
1360,16,11967.03
37953,16,5000
37953,16,5000
37953,16,5000
37953,16,5000
37953,16,5000
37953,16,5000
37953,16,5000
37953,16,5000
460,16,12769.35
37884,16,3374.22
37884,16,4114.65
460,16,6682.88
460,16,6682.88
37884,16,14692.15
37884,16,14692.15
37884,16,14692.15
37884,16,14692.15
37884,16,3374.22
460,16,2864.85
460,16,2864.85
460,16,2864.85
740,16,6759.07
740,16,12511.48
740,16,12511.48
3800,16,12846.88
37741,16,10996
37741,16,11496
850,17,12399
850,17,12309
37524,17,28594.66
37524,17,28594.66
37524,17,26417.39
37524,17,28594.64
37524,17,26417.38
37524,17,26417.39
850,17,5247
850,17,5247
850,17,5247
850,17,5247
37524,17,29392.99
37524,17,29392.99
37524,17,29392.99
850,17,15649
850,17,30721.5
850,17,30406.5
37524,17,29392.96
37524,17,29077.79
37524,17,29077.79
850,17,6264.8
103,17,19250
103,17,19250
37867,17,8040.66
37867,17,19970.92
37867,17,19970.92
37867,17,8040.66
37867,17,8040.66
37853,17,4449.82
37884,17,8762.93
37884,17,6553.35
37884,17,21255.2
37884,17,8778.49
37884,17,8762.93
37884,17,8778.49
37884,17,6226.26
37884,17,6226.26
37884,17,8704.79
37884,17,8704.79
37853,17,4449.82
460,17,2864.85
460,17,3114.85
460,17,2864.85
460,17,2864.85
460,17,5114.85
460,17,6682.88
460,17,6682.88
460,17,19383
460,17,19383
460,17,2864.85
460,17,14465.9
37700,17,12789.7
37524,17,14245
460,17,14465.9
37700,18,12789.7
37700,18,12789.7
37524,18,16045
37524,18,14245
103,19,19250
37884,19,6788.3
37884,19,6788.3
37884,19,11966.48
37884,19,8511.29
37884,19,29945.01
37884,19,8511.29
37884,19,8511.29
37884,19,9570.88
37884,19,8511.29
37884,19,8762.93
37884,19,21255.2
460,19,28169.25
740,19,12511.48
740,19,12511.48
740,19,12511.48
740,19,12511.48
740,19,12511.48
37524,19,14645
460,19,6682.88
460,19,6682.88
460,19,6682.88
460,19,3405.87
850,19,7186
850,19,12309
37867,19,8040.66
103,19,19250
37884,19,21255.2
37884,19,11966.48
37884,19,8778.49
37884,19,8778.49
37884,19,25913.95
37700,19,1990
37700,19,1990
1360,19,7978.02
1360,19,10268.02
460,19,3195
460,19,4864.85
460,19,2864.85
740,19,12511.48
740,19,15799.48
37867,20,19970.92
37867,20,8040.66
37867,20,8040.66
103,20,19250
103,20,19250
103,20,19250
103,20,19250
850,20,4341
850,20,4584
850,20,5247
850,20,12309
850,20,12309
850,20,41123.5
850,20,15649
850,20,15649
850,20,14429
850,20,15649
850,20,12909
850,20,12947
1360,20,9853.02
1360,20,15095.48
1360,20,9499.05
1360,20,3989.01
37884,20,26962.05
37884,20,26962.05
37524,20,17845
460,20,3405.87
460,20,6682.88
460,20,6682.88
460,20,3405.87
460,20,20661
37653,20,10395
740,20,4308.07
740,20,7596.07
740,20,4308.07
740,20,4308.07
37700,20,13489.7
37884,20,9570.88
37884,20,11966.48
37884,20,10621.26
37884,20,7319.11
460,20,2864.85
460,20,2864.85
460,20,5164.85
460,20,2864.85
460,20,4544.85
850,21,15649
37524,21,13546
37524,21,13146
37524,21,13146
37524,21,13546
850,21,15649
850,21,12309
37653,21,11195
170,21,12789.7
230,21,16617
230,21,16617
230,21,16617
230,21,16617
230,21,16617
230,21,16617
3450,21,17400
37524,21,17235
37884,21,4114.65
37867,21,8040.66
37524,21,25045
37524,21,25045
37867,21,8040.66
37867,21,8040.66
460,21,2864.85
37700,21,12789.7
37700,21,12789.7
460,21,28169.25
